id,name,parent
631,Serongga,27.0
632,Sesandan,63.0
633,Sesetan,23.0
634,Siangan,27.0
635,Sibang Gede,11.0
636,Sibang Kaja,11.0
637,Sibetan,17.0
638,Sidakarya,23.0
639,Sidan,27.0
640,Sidemen,59.0
641,Sidetapa,13.0
642,Silangjana,60.0
643,Sinabun,53.0
644,Sindu Wati,59.0
645,Singapadu,61.0
646,Singapadu Kaler,61.0
647,Singapadu Tengah,61.0
648,Singekerta,68.0
649,Siyakin,32.0
650,Sobangan,44.0
651,Songan A,32.0
652,Songan B,32.0
653,Suana,46.0
654,Subagan,29.0
655,Subamia,63.0
656,Subaya,32.0
657,Subuk,20.0
658,Sudaji,53.0
659,Sudimara,63.0
660,Sukadana,34.0
661,Sukasada,60.0
662,Sukawana,32.0
663,Sukawati,61.0
664,Sulahan,62.0
665,Sulang,21.0
666,Sulangai,50.0
667,Sulanyah,58.0
668,Sumber Klampok,26.0
669,Sumberkima,26.0
670,Sumerta,24.0
671,Sumerta Kaja,24.0
672,Sumerta Kauh,24.0
673,Sumerta Kelod,24.0
674,Sumita,27.0
675,Susut,62.0
676,Suter,32.0
677,Suwat,27.0
678,Suwug,53.0
679,Tajen,49.0
680,Tajun,35.0
681,Takmung,14.0
682,Talibeng,59.0
683,Taman,11.0
684,Taman Bali,12.0
685,Tambakan,35.0
686,Tamblang,35.0
687,Tampaksiring,64.0
688,Tampekan,13.0
689,Tangguntiti,57.0
690,Tangguwisia,58.0
691,Tangkas,33.0
692,Tangkup,59.0
693,Tanglad,46.0
694,Tanjung Benoa,37.0
695,Taro,65.0
696,Tegak,33.0
697,Tegal Badeng Barat,45.0
698,Tegal Badeng Timur,45.0
699,Tegal Cangkring,43.0
700,Tegal Harum,22.0
701,Tegal Kertha,22.0
702,Tegal Linggah,60.0
703,Tegal Mengkeb,57.0
704,Tegal Tugu,27.0
705,Tegalinggah,49.0
706,Tegaljadi,40.0
707,Tegallalang,65.0
708,Tegallinggah,29.0
709,Tejakula,66.0
710,Telaga,20.0
711,Telaga Tawang,59.0
712,Tembok,66.0
713,Tembuku,67.0
714,Temesi,27.0
715,Temukus,13.0
716,Tenganan,39.0
717,Tengkudak,49.0
718,Terunyan,32.0
719,Tianyar,34.0
720,Tianyar Barat,34.0
721,Tianyar Tengah,34.0
722,Tibubeneng,38.0
723,Tibubiyu,31.0
724,Tiga,62.0
725,Tigawasa,13.0
726,Tihingan,14.0
727,Timpag,31.0
728,Timuhun,15.0
729,Tinga Tinga,26.0
730,Tinggarsari,20.0
731,Tirtasari,13.0
732,Tista,20.0
733,Tista,10.0
734,Tista,31.0
735,Titab,20.0
736,Tiying Gading,56.0
737,Tiyingtali,10.0
738,Tohpati,15.0
739,Tojan,33.0
740,Tonja,25.0
741,Tri Buana,10.0
742,Tri Eka Buana,59.0
743,Tua,40.0
744,Tuban,36.0
745,Tukad Sumaga,26.0
746,Tukadaya,41.0
747,Tukadmungga,19.0
748,Tulamben,34.0
749,Tulikup,27.0
750,Tumbak Bayuh,44.0
751,Tumbu,29.0
752,Tunjuk,63.0
753,Tunjung,35.0
754,Tusan,14.0
755,Tuwed,41.0
756,Ubud,68.0
757,Ubung,25.0
758,Ubung  Kaja,25.0
759,Ulakan,39.0
760,Ularan,58.0
761,Ulian,32.0
762,Umeanyar,58.0
763,Umejero,20.0
764,Undisan,67.0
765,Ungasan,37.0
766,Unggahan,58.0
767,Wanagiri,60.0
768,Wanagiri,55.0
769,Wanagiri Kauh,55.0
770,Wanasari,63.0
771,Warnasari,41.0
772,Werdi Bhuwana,44.0
773,Wisma Kerta,59.0
774,Wongaya Gede,49.0
775,Yangapi,67.0
776,Yeh Embang,43.0
777,Yeh Embang Kangin,43.0
778,Yeh Embang Kauh,42.0
779,Yeh Kuning,28.0
780,Yeh Sumbul,43.0
